"날짜","출발지","도착지","일별이동횟수","유형","타입","수량"
"20171205","5138404","4035169",1,"N11","직송",192
"20171214","4024790","4041435",1,"N11","직송",288
"20171214","4025527","4053097",1,"N11","직송",224
"20180105","4024790","4024336",1,"N11","직송",288
"20180226","5186306","4208887",1,"N11","직송",20
"20180228","4024790","4296005",1,"N11","직송",256
"20180209","5099197","4041880",1,"N11","직송",120
"20180305","4024790","4024336",1,"N11","직송",512
"20180423","5016527","4156120",1,"N11","직송",240
"20180425","4077960","4045351",1,"N12","직송",256
"20180514","5060079","4041880",1,"N11","직송",19
"20180510","4013119","4280979",1,"N11","직송",256
"20180510","4024790","4110248",1,"N11","직송",192
"20180612","5138404","4024336",1,"N11","직송",192
"20180607","5038947","4194860",1,"N11","직송",100
"20180626","4019145","4203151",1,"N11","직송",192
"20180627","4056326","4165918",1,"N11","직송",192
"20180627","4084453","4101128",1,"N11","직송",192
"20180619","5015239","4188765",1,"N11","직송",178
"20180619","5254883","4196950",1,"N11","직송",192
"20180620","4024790","4046351",1,"N11","직송",288
"20180628","4082771","4237060",1,"N11","직송",192
"20180628","4104927","4173266",1,"N11","직송",192
"20180628","4183890","4279885",1,"N11","직송",256
"20170930","5132254","4041177",1,"N12","직송",108
"20171024","5138404","4024336",1,"N11","직송",192
"20171026","4024790","4114282",1,"N11","직송",256
"20171027","5138404","4024336",1,"N11","직송",192
"20171030","4024790","4024336",1,"N11","직송",256
"20171117","4024790","4047918",1,"N11","직송",256
"20171117","4158934","4099509",1,"L14","직송",24
"20171120","4024790","4233361",1,"N11","직송",224
"20171115","5186306","4140925",1,"N11","직송",160
"20171011","4024790","4010573",1,"N11","직송",256
"20171011","4024790","4295463",1,"N11","직송",864
"20171123","4142683","4177977",1,"N11","직송",200
"20171127","4024790","4065673",1,"N11","직송",288
"20171205","4056326","4197861",1,"N11","직송",192
"20171218","4056326","4016521",1,"N11","직송",160
"20171221","4220026","4226168",1,"N11","직송",256
"20180108","5166129","4078616",1,"N11","직송",60
"20180110","5098491","4041880",1,"N11","직송",96
"20180112","4082771","4081240",1,"N11","직송",256
"20180205","4024790","4106551",1,"N11","직송",288
"20180208","4024790","4056322",1,"N11","직송",288
"20180208","4025527","4005721",1,"N11","직송",137
"20180208","4027684","4168220",1,"N12","직송",14
"20180208","4102057","4058409",1,"N11","직송",192
"20180308","4056326","4082399",1,"N11","직송",192
"20180510","4183890","4002745",1,"N11","직송",288
"20180516","5163780","4005698",1,"N12","직송",25
"20180531","5254883","4205182",1,"N11","직송",264
"20180627","5015248","4106078",1,"N11","직송",6
"20180627","5059072","4106078",1,"N11","직송",8
"20180627","5186306","4100509",1,"N11","직송",224
"20180628","4024790","4121144",1,"N11","직송",192
"20180620","4082771","4247538",1,"N11","직송",160
"20180628","5113329","4262189",1,"N11","직송",50
"20180620","5285162","4100509",1,"N11","직송",200
"20180621","4064934","4024480",1,"N11","직송",160
"20180621","4268667","4016647",1,"N12","직송",128
"20180621","5089649","4194166",1,"N11","직송",30
"20180621","5186306","4100509",1,"N11","직송",192
"20180622","5050409","4086236",1,"N11","직송",38
"20180622","5254883","4308676",1,"N11","직송",200
"20171226","4024790","4021381",1,"N11","직송",288
"20180113","4082771","4286294",1,"N11","직송",192
"20180125","5105462","4238657",1,"N11","직송",5
"20180125","5138404","4024336",1,"N11","직송",192
"20180126","5285162","4100509",1,"N11","직송",192
"20180126","4042492","4198128",1,"N11","직송",100
"20180126","4024790","4137879",1,"N11","직송",288
"20180127","4024790","4155500",1,"N11","직송",256
"20180210","5182102","4019599",1,"N11","직송",74
"20180210","4082771","4165918",1,"N11","직송",80
"20180213","4024790","4117505",1,"N11","직송",288
"20180213","4024790","4233361",1,"N11","직송",224
"20180208","4189182","4220026",1,"N11","직송",288
"20180214","4183890","4234369",1,"N12","직송",104
"20180214","4268667","4053097",1,"N12","직송",128
"20180314","4024790","4048903",1,"N11","직송",288
"20180315","4024790","4062384",1,"N11","직송",256
